"host_total_listings_count","room_type","latitude","longitude","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","availability_365","number_of_reviews"
1,"Private room",42.3443201367803,-71.0908555328267,1,1,1,310,1,1,0,2
2,"Entire home/apt",42.348525645795,-71.1397907336157,1,4,5,97,49,24,149,34
1,"Private room",42.3418576619739,-71.0890443691615,2,1,1,6,1,1,0,0
1,"Private room",42.3616408551278,-71.1238944728376,1,1,1,246,1,1,0,0
630,"Entire home/apt",42.364159001568,-71.1301646548141,2,2,3,16,45,25,100,14
2,"Private room",42.3526588170202,-71.134972356442,1,1,1,205,1,1,0,0
364,"Entire home/apt",42.3452085144818,-71.1002158927241,1,1,1,229,1,4,361,0
2,"Private room",42.3694918038337,-71.0365932826426,1,1,1,26,2,61,94,88
13,"Private room",42.35524224515,-71.1354745715694,2,1,1,310,1,3,100,98
1,"Entire home/apt",42.3456786938528,-71.069432023355,1,2,2,103,27,88,348,78
1,"Entire home/apt",42.3478262428123,-71.0870770266431,1,1,1,80,2,4,2,16
14,"Private room",42.3706972929162,-71.0352232321251,1,1,1,335,1,81,41,69
2,"Private room",42.2445628976764,-71.116478655104,1.5,1,1,335,1,3,0,14
3,"Private room",42.2439751324559,-71.1220495384349,1,1,1,271,34,3,344,9
1,"Private room",42.3450800028394,-71.1420002722599,1,1,1,246,1,3,343,25
1,"Entire home/apt",42.3647983854122,-71.0553612898862,1,1,2,1,1,88,185,10
2,"Private room",42.3238211231519,-71.0735094108692,1,1,1,310,2,61,322,15
5,"Private room",42.3749673661399,-71.0375126007329,2,1,1,301,2,48,153,79
2,"Entire home/apt",42.3312396244615,-71.0417568979017,2,2,2,147,1,101,0,8
630,"Entire home/apt",42.3316455540071,-71.0439383544235,1,2,2,87,45,23,97,2
3,"Private room",42.3082144694573,-71.1184190594973,1,1,1,307,2,3,295,5
49,"Private room",42.3491389059861,-71.1036882495839,1,1,1,32,2,61,147,19
1,"Private room",42.36604009903,-71.0697103478416,1,1,1,337,24,97,0,4
18,"Entire home/apt",42.3503315029418,-71.0650031207999,1,0,1,83,24,82,151,116
982,"Entire home/apt",42.3520684901623,-71.0619446337299,1,1,1,46,1,4,360,1
1,"Entire home/apt",42.3139514058436,-71.1160089155447,2,2,2,93,1,97,0,6
1,"Private room",42.3308449492966,-71.0524603085304,1,1,1,310,1,81,0,11
2,"Private room",42.252610033131,-71.1161565870788,2,1,1,326,14,67,357,14
3,"Private room",42.3573675495307,-71.0651353339762,1,1,1,32,2,70,34,30
1,"Entire home/apt",42.3031739492717,-71.1178250558232,2.5,3,3,55,3,4,0,1
4,"Private room",42.3843199540253,-71.0007686916917,1,1,1,335,2,81,4,13
5,"Private room",42.3008832091092,-71.0818971064071,1,1,1,304,8,61,362,21
3,"Entire home/apt",42.366297790399,-71.0563307892091,1,1,2,93,28,95,327,53
5,"Entire home/apt",42.330698049241,-71.0577714375602,1,2,4,57,34,4,285,27
30,"Private room",42.360908454141,-71.1419871429175,1,1,1,357,1,74,158,60
25,"Entire home/apt",42.318467329577,-71.0731209060321,1,3,3,56,2,117,313,15
630,"Entire home/apt",42.3397432512158,-71.0499794424899,1,1,1,66,45,112,94,4
2,"Private room",42.3303561889116,-71.0565182966823,1,1,1,326,2,82,0,1
2,"Private room",42.2893306884048,-71.0670996824377,1,1,1,326,1,1,331,7
85,"Entire home/apt",42.3439951443083,-71.0765668374085,1,0,1,110,1,59,105,1
1,"Entire home/apt",42.348358429576,-71.0398750978897,2,2,2,185,1,1,0,0
5,"Private room",42.3383165958965,-71.0769085639671,1.5,1,1,32,18,89,343,8
2,"Private room",42.3259468749861,-71.0592176066708,1,1,1,310,8,64,149,151
1,"Private room",42.2959520474111,-71.06133744208,1,1,1,348,1,1,5,60
11,"Entire home/apt",42.3077551180919,-71.1047752344293,1,1,2,57,34,95,152,2
1,"Entire home/apt",42.3524270264849,-71.0645334850395,1,1,3,218,3,1,0,0
630,"Entire home/apt",42.348881830897,-71.0812575157754,1,0,0,16,34,111,83,53
1,"Entire home/apt",42.3317907010168,-71.0381889762763,1,1,1,83,49,4,0,7
505,"Entire home/apt",42.3450463962122,-71.0801632912778,1,2,3,253,2,17,299,1
10,"Entire home/apt",42.3290326840889,-71.0537593601354,2,2,5,183,30,4,42,4
1,"Private room",42.3194999596461,-71.1123177290191,1,1,2,354,24,74,41,113
364,"Entire home/apt",42.3319489748346,-71.1111068793338,1,2,2,97,2,4,346,0
1,"Private room",42.2858776392019,-71.1249095569216,1,1,2,295,2,55,353,102
7,"Private room",42.3083801164869,-71.0469426659392,2,1,2,328,8,61,240,318
7,"Entire home/apt",42.3285234777199,-71.0953924391199,1,1,1,76,1,95,326,29
85,"Entire home/apt",42.3440251015529,-71.0771651608005,1,0,1,110,1,89,162,12
60,"Entire home/apt",42.3666533872552,-71.0539873711516,1,1,1,347,21,88,38,4
1,"Entire home/apt",42.3596997837127,-71.0699627637654,1,0,1,57,8,82,0,9
1,"Private room",42.3185805383956,-71.1067800194245,1,1,2,313,1,61,0,4
4,"Private room",42.2828017504239,-71.1151450909409,1,1,1,271,1,1,280,6
13,"Entire home/apt",42.3328541287083,-71.1011504927296,2,1,1,355,3,36,238,19
2,"Entire home/apt",42.3058133625616,-71.1125965120116,2.5,4,6,294,34,12,338,54
1,"Entire home/apt",42.3161369332955,-71.1128881301265,1,1,1,326,1,1,0,14
2,"Private room",42.3698233181108,-71.0343839044497,1,1,1,319,8,55,95,58
5,"Entire home/apt",42.3431619270968,-71.0824163572183,1,0,2,78,1,89,329,13
1,"Entire home/apt",42.3381243079557,-71.0837781841467,1,1,3,355,8,95,0,10
58,"Entire home/apt",42.3442266152643,-71.0778781826634,1,1,1,165,1,1,348,6
2,"Entire home/apt",42.3063960225236,-71.1059352853356,1,2,2,57,1,1,0,1
2,"Entire home/apt",42.350418690351,-71.0820091443419,1,1,2,107,55,36,223,15
7,"Private room",42.3097735385604,-71.0471529234043,2,1,2,326,8,61,251,350
1,"Private room",42.3182507411753,-71.0578894253281,1,1,1,360,1,1,78,62
79,"Entire home/apt",42.3492297813149,-71.0860152462021,1,1,2,27,14,82,106,55
9,"Private room",42.3294301128162,-71.0930750848793,1,1,1,350,38,65,56,155
11,"Private room",42.3560250919884,-71.1387886085787,3,1,1,234,2,4,365,5
1,"Entire home/apt",42.3281631758989,-71.0571919470079,1,2,2,243,8,4,0,42
1,"Entire home/apt",42.3515378994474,-71.0883823217437,1,0,1,130,1,1,137,71
1,"Entire home/apt",42.3527931334264,-71.0773064978224,2.5,3,2,218,7,68,89,14
2,"Entire home/apt",42.3619930690107,-71.0505229673536,1.5,1,1,244,1,1,353,8
1,"Private room",42.3369236384299,-71.1491819925289,1,1,1,319,1,1,0,0
2,"Private room",42.3131260715308,-71.0529625612592,1.5,1,1,27,2,74,339,1
1,"Private room",42.3490781705822,-71.152605106994,1,1,1,363,1,1,365,0
9,"Entire home/apt",42.3417344311738,-71.0967122688339,1,1,4,52,2,35,349,12
2,"Private room",42.3837048837653,-71.0656444694219,1.5,1,1,42,1,3,48,2
1,"Private room",42.2728921014189,-71.0727310607119,1,1,1,326,1,1,362,23
982,"Entire home/apt",42.331909136623,-71.1121404500681,2,2,2,85,2,4,360,0
1,"Entire home/apt",42.3386228607516,-71.0298482082233,2,2,2,88,2,55,0,3
339,"Entire home/apt",42.3450033163956,-71.0794907415972,1,2,3,218,1,4,86,7
2,"Private room",42.3050782515472,-71.0645793552431,1.5,1,1,343,1,1,363,1
31,"Private room",42.3162963527236,-71.0811847720819,1,1,1,246,34,74,365,3
26,"Entire home/apt",42.3376717300316,-71.0803383506822,2,3,3,188,49,27,263,66
1,"Private room",42.3491440210031,-71.0983053255864,1,1,1,330,1,1,0,1
2,"Shared room",42.36020415031,-71.0683998370896,1,1,1,331,34,74,84,73
5,"Private room",42.3360586727716,-71.0747696750446,1.5,1,1,32,18,89,338,46
79,"Entire home/apt",42.3439197173339,-71.0819563826925,1,0,1,360,8,74,73,6
1,"Entire home/apt",42.3778117224498,-71.051446176219,1,2,3,78,1,1,0,0
1,"Entire home/apt",42.3589258438848,-71.06310908854,1,0,1,83,2,97,241,97
2,"Private room",42.3504678410761,-71.0576662119056,1,1,1,360,1,55,0,3
5,"Private room",42.3513946977559,-71.0802808846874,1,1,1,360,24,35,40,2
3,"Entire home/apt",42.3310243019181,-71.0804351600526,1,2,2,101,1,61,155,8
1,"Entire home/apt",42.3605729029744,-71.0654863862452,1,2,1,147,24,1,0,5
982,"Entire home/apt",42.3517004012726,-71.060162536567,1,1,1,46,1,4,360,0
4,"Private room",42.283737013418,-71.0858115594656,1,1,1,310,1,61,97,17
339,"Entire home/apt",42.3461968609715,-71.0785662177557,1,1,2,154,1,4,79,6
85,"Entire home/apt",42.3506986578207,-71.0823305456011,1,0,1,110,1,89,155,14
2,"Entire home/apt",42.3635189494699,-71.0554902267569,1,2,3,107,2,36,331,0
26,"Entire home/apt",42.3421202481867,-71.1543926029886,1,0,2,342,38,4,316,21
1,"Entire home/apt",42.3546854565028,-71.0815442628547,1,1,1,152,24,82,307,35
14,"Entire home/apt",42.3502512913947,-71.0844501958071,1,1,2,72,1,89,281,2
1,"Entire home/apt",42.3127790883538,-71.1097408217133,2,2,2,88,49,4,0,10
2,"Entire home/apt",42.3471585445812,-71.1052738885369,1,0,1,93,45,2,320,4
630,"Entire home/apt",42.355248197191,-71.057728990236,1,1,2,26,45,6,71,23
1,"Entire home/apt",42.3535248604038,-71.0796075284754,1,1,1,163,8,1,31,29
982,"Entire home/apt",42.3512546185083,-71.0612454781251,1,1,1,36,1,4,360,1
4,"Private room",42.2886753303735,-71.0618613863104,1,1,1,271,1,61,172,17
1,"Private room",42.3428372424448,-71.0637992493077,1,1,1,8,1,1,0,13
1,"Private room",42.3006644934083,-71.1658674089149,1,1,1,271,1,61,340,17
85,"Entire home/apt",42.3594170554889,-71.0623232988334,1,0,1,110,1,89,119,34
11,"Entire home/apt",42.3469926757057,-71.0742018417131,1,0,2,56,49,95,167,1
5,"Entire home/apt",42.3656021983061,-71.05540612571,1,2,3,130,49,104,165,1
3,"Entire home/apt",42.3654439963714,-71.031848388881,1,1,1,301,24,67,153,37
1,"Entire home/apt",42.2783209754338,-71.1248728418849,1,1,1,57,2,2,350,6
5,"Entire home/apt",42.3652412073678,-71.0293614885978,1,1,1,32,1,97,212,13
5,"Private room",42.3004913480353,-71.0806385852486,1,1,3,26,8,82,325,1
2,"Private room",42.3709457923511,-71.0343533421997,1,1,1,319,8,55,93,66
4,"Entire home/apt",42.3670036192128,-71.0393629167927,1,1,1,17,24,67,44,5
1,"Private room",42.3459546492292,-71.1527505126407,1,1,2,286,1,1,0,8
3,"Entire home/apt",42.3499816231046,-71.129434761303,1,2,2,57,1,1,0,2
14,"Private room",42.3704072337547,-71.0353232929978,1,1,1,301,1,81,47,91
11,"Entire home/apt",42.340323325983,-71.0757153441531,1,1,1,83,1,24,291,49
1,"Entire home/apt",42.3786775776712,-71.0633833974769,1,1,2,56,2,70,35,108
4,"Private room",42.3650920706592,-71.0364606229462,1,1,1,335,1,1,146,125
9,"Entire home/apt",42.3651656890618,-71.0569439247423,2,2,2,149,49,108,231,145
9,"Private room",42.3454701341201,-71.0788122033184,1,1,1,93,1,1,200,3
3,"Entire home/apt",42.3362321541414,-71.0460436665637,1,2,5,122,1,77,133,27
4,"Entire home/apt",42.3282718153871,-71.0944318781108,1,0,2,66,1,85,317,49
982,"Entire home/apt",42.3629575056525,-71.0637437440102,1,1,1,48,2,4,93,0
11,"Entire home/apt",42.3314603649176,-71.0531129049487,1,3,8,56,34,36,327,55
2,"Entire home/apt",42.3188452734821,-71.10267938547,1,2,2,145,24,1,337,24
1,"Entire home/apt",42.3458660724964,-71.1055543310917,1,1,3,57,8,77,147,1
1,"Entire home/apt",42.3420266612518,-71.0857663005993,1,1,1,348,1,1,0,0
339,"Entire home/apt",42.3492060240544,-71.0612092423365,2,3,4,288,2,4,182,0
10,"Entire home/apt",42.3508604981566,-71.080994162919,1,1,1,32,49,24,189,40
3,"Entire home/apt",42.3455547548546,-71.0615748419913,1,1,2,110,27,117,3,103
3,"Entire home/apt",42.2947307636844,-71.0611194930765,2,2,2,88,8,101,280,96
1,"Private room",42.3405421322304,-71.1467103764711,1.5,1,1,198,1,1,0,1
982,"Entire home/apt",42.349936371918,-71.059894880746,2,2,2,84,1,4,360,1
1,"Private room",42.3417558602521,-71.0916612844936,1,1,1,343,2,3,17,0
505,"Entire home/apt",42.3643431849367,-71.060771796937,2,2,2,253,1,54,315,0
4,"Entire home/apt",42.3280788114255,-71.0961993431993,1,0,1,36,2,55,150,74
2,"Entire home/apt",42.374412808591,-71.0339909111012,1,2,3,188,1,82,9,3
1,"Entire home/apt",42.3410410387689,-71.0534047924765,1,1,1,42,8,82,143,17
85,"Entire home/apt",42.3504718135764,-71.0819709061086,1,0,1,110,2,89,132,20
1,"Entire home/apt",42.353969144231,-71.138981083874,1,1,1,66,2,82,103,11
2,"Private room",42.316674992173,-71.0606090909147,1,1,1,301,14,74,5,0
18,"Entire home/apt",42.3630982704741,-71.053632753542,1,2,3,44,8,70,337,5
630,"Entire home/apt",42.3559296438786,-71.0579383609768,1,1,2,36,45,6,95,21
1,"Private room",42.3319216127956,-71.1020415881305,1,1,1,310,1,1,0,0
1,"Entire home/apt",42.3586107605585,-71.0691332424008,2,2,2,311,2,82,358,0
183,"Entire home/apt",42.3491804370507,-71.0687493701491,1,1,1,114,1,1,351,0
3,"Private room",42.3242271787797,-71.0800484818863,1,1,3,325,1,88,153,12
30,"Entire home/apt",42.3588010439914,-71.140724035898,1,3,3,204,1,24,192,0
11,"Entire home/apt",42.3330554114079,-71.0484047957814,1,1,4,334,34,4,327,80
60,"Entire home/apt",42.3654805489006,-71.0563083284902,2,4,4,145,45,36,46,37
2,"Entire home/apt",42.3804105174027,-71.0624527224128,1,1,1,67,1,104,292,45
1,"Private room",42.3491267176573,-71.1385704828462,1,1,1,342,1,1,0,3
3,"Entire home/apt",42.3650647572624,-71.051721584878,1,1,1,66,2,97,308,25
1,"Entire home/apt",42.3135723391285,-71.1138193264009,1,2,2,57,24,82,35,25
364,"Entire home/apt",42.3301808246803,-71.1124851443958,2,3,3,132,2,4,343,2
1,"Entire home/apt",42.3588671005385,-71.065371712919,1,0,1,36,1,4,46,14
1,"Entire home/apt",42.3689020872605,-71.0364655516877,1,1,1,32,2,3,193,20
3,"Entire home/apt",42.3719132555927,-71.0633301992549,3,4,5,272,49,24,327,167
1,"Entire home/apt",42.3341189348898,-71.0294411752069,1,1,2,57,8,101,0,3
58,"Entire home/apt",42.3552631992858,-71.0727931013764,2,3,3,238,1,1,331,61
2,"Private room",42.3505755903585,-71.0960975368038,1,1,1,8,1,1,0,3
1,"Entire home/apt",42.3452035194312,-71.079508113058,2,3,3,259,34,1,0,1
2,"Entire home/apt",42.3404593736357,-71.080357990618,1,1,1,147,27,82,42,16
6,"Private room",42.2892380145326,-71.0615172016484,1,1,1,309,27,61,346,91
1,"Entire home/apt",42.3880402918776,-71.0088755658401,1,3,3,145,1,67,0,5
2,"Private room",42.3174896746925,-71.0933158365481,1,1,1,326,2,3,142,2
2,"Private room",42.2933800651477,-71.0637790168446,1.5,1,1,310,1,1,309,34
40,"Entire home/apt",42.3497999224983,-71.0853509116937,1,1,2,137,49,9,303,4
4,"Entire home/apt",42.3548318928801,-71.0617905025678,1,2,3,181,34,4,164,94
12,"Private room",42.2977197173803,-71.0592404613887,1.5,1,3,310,8,35,287,290
1,"Private room",42.3657074759494,-71.0577080605352,1,1,1,37,1,1,0,1
1,"Entire home/apt",42.3500450322598,-71.066945058479,1,3,3,69,2,62,137,34
3,"Entire home/apt",42.3596126207256,-71.0552043475953,1,0,1,163,27,82,334,19
4,"Entire home/apt",42.3590832130098,-71.0683747237547,1,1,1,181,8,108,59,42
13,"Private room",42.3529520261839,-71.1343131223021,1,1,1,268,1,61,0,1
1,"Private room",42.3387423841084,-71.1478642993375,1,1,1,292,1,35,18,2
60,"Entire home/apt",42.3668875111159,-71.0578306517863,1,2,2,26,24,101,36,54
339,"Entire home/apt",42.3443125150655,-71.0981850566658,1,1,2,170,1,4,171,9
1,"Entire home/apt",42.3433407230917,-71.0955893880807,1,1,1,93,27,82,315,55
14,"Entire home/apt",42.3601528225205,-71.069384104906,1,2,2,103,1,101,283,17
4,"Private room",42.3148951937513,-71.0611937144275,2.5,1,1,319,1,3,336,96
1,"Private room",42.3597371352272,-71.1274898515095,1,1,1,347,1,61,99,4
2,"Entire home/apt",42.2888581543752,-71.0656679304568,2,3,4,83,45,4,345,64
1,"Entire home/apt",42.3789255674742,-71.0650639690184,1,2,2,218,34,82,252,2
3,"Entire home/apt",42.3402125426598,-71.0887293437437,1,2,2,30,8,88,0,10
5,"Private room",42.3590768053327,-71.1440690561767,1,1,1,246,34,82,281,3
5,"Entire home/apt",42.343124777886,-71.1014371888696,2,2,3,231,49,36,365,0
1,"Entire home/apt",42.3649793168418,-71.0670630197754,1,1,2,83,49,36,339,3
1,"Entire home/apt",42.3648767908656,-71.0549778162711,1,1,1,27,1,36,0,4
982,"Entire home/apt",42.3510962755763,-71.0640943763014,2,2,2,85,1,4,359,1
1,"Entire home/apt",42.2922261823416,-71.1296188124405,1.5,3,3,8,1,1,0,0
1,"Entire home/apt",42.3475306443126,-71.1035312029544,1,0,1,17,1,1,0,2
1,"Entire home/apt",42.3618828968109,-71.05296259186,1,1,1,110,1,1,0,15
6,"Private room",42.2888069439252,-71.0614075640848,1,1,1,296,27,61,344,71
9,"Entire home/apt",42.310767659336,-71.0862693086166,2,3,4,247,1,56,89,5
2,"Private room",42.3307838536088,-71.0468886991547,1,1,1,12,1,61,56,71
982,"Entire home/apt",42.328920440157,-71.1100577692778,2,2,2,82,2,4,360,0
2,"Entire home/apt",42.3585319865727,-71.0696724588755,1,1,2,78,49,113,63,19
2,"Private room",42.2788652097815,-71.1600323479823,2.5,1,1,282,2,61,361,0
2,"Entire home/apt",42.3774124398429,-71.0328371944663,1,2,2,16,1,74,343,12
2,"Entire home/apt",42.3593720768477,-71.1315598940601,1,0,1,83,1,1,350,19
982,"Entire home/apt",42.3439451236296,-71.1002404895735,2,2,2,87,1,4,360,0
17,"Private room",42.3859961885401,-71.004018274089,2,1,2,295,8,61,74,22
3,"Entire home/apt",42.3474756943499,-71.0494303454789,1,0,2,67,2,2,151,23
1,"Entire home/apt",42.3384344911069,-71.0768475869639,1,1,1,72,2,89,251,55
1,"Private room",42.3433016123765,-71.063146573387,1.5,1,1,347,14,55,349,0
1,"Entire home/apt",42.3405871885804,-71.1541542683974,1,1,1,22,14,1,0,1
1,"Entire home/apt",42.3041314297307,-71.1050437096767,1,3,4,141,1,77,297,31
364,"Entire home/apt",42.3466524361392,-71.0781352352648,1,1,2,51,2,4,349,0
630,"Entire home/apt",42.3437956848653,-71.1018468208687,1,1,1,36,45,112,101,5
4,"Private room",42.304539324116,-71.0610357844933,2,1,1,304,1,3,357,154
1,"Entire home/apt",42.366233081541,-71.0590400910552,1,1,1,130,1,1,0,2
1,"Entire home/apt",42.3818920273052,-71.064851970272,2.5,3,3,147,3,36,0,1
9,"Private room",42.3575880728968,-71.1285463707975,2,1,1,271,8,61,299,43
58,"Entire home/apt",42.3464247755105,-71.0782701864799,1,2,2,204,1,56,364,12
16,"Private room",42.3824490437019,-71.0767025580374,1,1,1,284,2,77,83,5
2,"Entire home/apt",42.373943890353,-71.0642003565988,1,1,1,110,8,101,136,19
5,"Entire home/apt",42.3745227339508,-71.0378012779528,2,4,4,257,2,4,219,1
2,"Entire home/apt",42.3437975623382,-71.1563047977309,1,1,1,279,1,1,220,8
1,"Entire home/apt",42.3432709494614,-71.0837110091545,1,1,1,83,1,82,0,1
982,"Entire home/apt",42.3289468621622,-71.1098976367839,1,0,1,32,2,4,355,0
3,"Entire home/apt",42.3489894894881,-71.0666611080406,2,3,3,195,2,62,126,46
4,"Entire home/apt",42.2739868820717,-71.1182087436622,1,1,2,296,2,100,230,1
2,"Entire home/apt",42.3694897220626,-71.0360113507321,1,1,1,36,2,88,29,46
1,"Entire home/apt",42.3599075559156,-71.0687935012981,1,1,1,147,24,101,0,0
1,"Shared room",42.3374825056454,-71.0791157038949,1,1,1,57,1,1,88,0
2,"Entire home/apt",42.3543929753461,-71.0600935709452,1,3,4,184,34,4,319,209
9,"Private room",42.3666369115753,-71.0388428526312,3,1,1,187,1,81,122,125
18,"Entire home/apt",42.3849640851242,-71.0766614859623,1,1,2,122,24,36,73,27
1,"Private room",42.2556061035279,-71.1212752912829,1,1,1,286,1,1,68,2
2,"Private room",42.3390200063981,-71.1066409301378,1,1,1,341,1,1,44,284
31,"Private room",42.3140502322252,-71.0922630610516,1.5,1,1,248,49,74,365,0
7,"Private room",42.3436593797191,-71.15069537327,1.5,1,1,246,8,55,348,7
4,"Private room",42.3473689350699,-71.1382456372867,0.5,1,1,301,8,95,349,41
26,"Entire home/apt",42.3502633403942,-71.0909726475872,1,1,1,141,49,9,287,9
1,"Entire home/apt",42.3637585084822,-71.0611157988217,1,1,1,147,1,101,0,2
4,"Entire home/apt",42.348309740905,-71.1407616129733,2,2,3,87,8,82,80,0
1,"Entire home/apt",42.3619652402312,-71.0562264261982,1,1,1,83,1,82,63,0
79,"Entire home/apt",42.3603397112519,-71.0685885910943,1,0,1,360,8,70,121,24
1,"Entire home/apt",42.3185589891295,-71.1097807252356,1,2,2,52,27,82,47,21
982,"Entire home/apt",42.3435234367201,-71.0999249897767,1,1,1,36,1,4,360,0
1,"Entire home/apt",42.3711166097389,-71.0333976853929,2,3,4,34,34,24,20,74
1,"Entire home/apt",42.3368697970786,-71.048436248993,1,1,1,184,24,4,359,6
2,"Entire home/apt",42.3133788261741,-71.1171890859662,1,2,3,52,1,82,326,137
4,"Private room",42.377519723172,-71.0341811802471,1,1,1,22,1,1,80,353
2,"Entire home/apt",42.3371372240033,-71.0767250450788,1,2,2,129,49,85,9,109
1,"Private room",42.3590909534815,-71.0676145214914,1,1,1,348,1,1,0,0
1,"Shared room",42.3338038426129,-71.0961717036028,1,1,1,166,1,1,0,11
2,"Entire home/apt",42.3526241670797,-71.0805138362019,1,0,1,83,1,32,156,138
6,"Entire home/apt",42.3538167235754,-71.0739938895474,1,1,1,145,1,1,133,0
4,"Private room",42.3200225236794,-71.1059404977377,1,1,1,310,1,1,0,1
3,"Entire home/apt",42.3745128828392,-71.0347137593631,1,4,6,150,14,113,124,0
13,"Entire home/apt",42.3584034881646,-71.0618503344107,1,1,1,57,3,62,247,25
1,"Entire home/apt",42.353825329391,-71.0767136039499,1,0,1,57,1,82,0,8
2,"Entire home/apt",42.2926873053165,-71.0743493363821,1.5,2,2,88,1,82,0,4
6,"Private room",42.3605430929914,-71.1309092949641,1,1,4,8,1,55,150,19
1,"Entire home/apt",42.3369367563682,-71.0507027607844,1,1,1,98,1,82,135,15
1,"Entire home/apt",42.2842452605377,-71.1196063509515,1.5,3,3,32,8,4,344,8
8,"Entire home/apt",42.3471528512997,-71.0929904660888,1,1,2,117,8,74,348,97
1,"Entire home/apt",42.3516180434193,-71.0821297168675,1,0,1,93,1,97,136,13
13,"Private room",42.3516939400413,-71.1337641934264,1,1,1,224,1,35,0,2
14,"Private room",42.3683350722224,-71.0360339760448,1,1,1,335,1,81,0,148
1,"Private room",42.324546846417,-71.0598514469682,1,1,1,342,1,35,71,6
8,"Entire home/apt",42.3485963422796,-71.0627601996312,1,1,2,104,8,74,335,70
4,"Entire home/apt",42.3502586336686,-71.0616054386172,1,2,3,181,24,88,151,22
1,"Entire home/apt",42.3501681500969,-71.0474764094372,1,1,1,110,1,36,3,4
1,"Private room",42.348271232768,-71.1349433701076,1,1,1,307,24,77,128,68
1,"Entire home/apt",42.3436386784181,-71.0702350105398,2.5,3,4,349,3,56,349,32
1,"Entire home/apt",42.3309189463566,-71.1087362882022,1,1,2,37,1,1,290,14
8,"Entire home/apt",42.3306172368912,-71.0974565964301,1,1,1,66,2,4,354,10
1,"Entire home/apt",42.2838908738485,-71.1314082665136,1,0,2,32,1,61,350,13
1,"Private room",42.3517255757275,-71.1210452383299,1,1,1,348,1,55,0,0
982,"Entire home/apt",42.3635172669848,-71.0687009658029,1,1,1,36,2,4,360,0
1,"Private room",42.3427666491532,-71.0879706957881,1,1,1,326,1,94,0,15
2,"Private room",42.3667659804113,-71.0344908401374,1,1,1,17,2,108,3,0
3,"Entire home/apt",42.343683100236,-71.0973458041723,1.5,2,2,127,1,1,0,0
364,"Entire home/apt",42.3436390467313,-71.0993333320494,2,2,1,103,2,4,342,0
2,"Private room",42.272356674576,-71.1082924341364,1,1,1,301,2,61,356,0
2,"Private room",42.3412605206323,-71.157173433973,1,1,2,319,8,70,323,151
1,"Private room",42.3749205765262,-71.0404252245647,1,1,2,27,1,58,0,17
4,"Entire home/apt",42.3303184361919,-71.0940553549907,1,0,2,66,1,95,326,38
1,"Entire home/apt",42.2611829472379,-71.1198880268055,1.5,4,5,145,49,97,37,64
1,"Entire home/apt",42.3431050395421,-71.0883991102716,1,1,2,62,1,1,0,0
30,"Private room",42.3614125193472,-71.1258698005194,1,1,1,334,1,74,151,23
2,"Private room",42.3603582512682,-71.0684709894584,1,1,2,335,8,1,4,35
